image,critical,high,total
rancher/hardened-addon-resizer:1.8.20-build20241001,0,0,0
rancher/hardened-calico:v3.29.0-build20241104,0,1,1
rancher/hardened-cluster-autoscaler:v1.8.11-build20241014,0,0,0
rancher/hardened-coredns:v1.11.3-build20241018,0,0,0
rancher/hardened-dns-node-cache:1.23.1-build20241008,0,5,5
rancher/hardened-etcd:v3.5.16-k3s1-build20241106,0,0,0
rancher/hardened-flannel:v0.26.0-build20241024,0,5,5
rancher/hardened-k8s-metrics-server:v0.7.1-build20241008,0,0,0
rancher/hardened-kubernetes:v1.31.3-rke2r1-build20241121,0,0,0
rancher/klipper-helm:v0.9.3-build20241008,0,0,0
rancher/klipper-lb:v0.4.9,0,0,0
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.4.4,0,0,0
rancher/mirrored-pause:3.6,0,0,0
rancher/mirrored-sig-storage-snapshot-controller:v8.1.0,0,1,1
rancher/mirrored-sig-storage-snapshot-validation-webhook:v8.1.0,0,1,1
rancher/nginx-ingress-controller:v1.10.5-hardened4,0,5,5
rancher/rke2-cloud-provider:v1.31.2-0.20241016053446-0955fa330f90-build20241016,0,0,0
rancher/rke2-runtime:v1.31.3-rke2r1,0,0,0
