image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,google.golang.org/grpc,v1.78.0,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,bin/containerd-shim-runc-v2,1.79.3,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-34040,HIGH,https://avd.aquasec.com/nvd/cve-2026-34040,bin/k3s,29.3.1,false,affected,
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,github.com/jackc/pgx/v5,v5.8.0,gobinary,CVE-2026-33816,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33816,bin/k3s,5.9.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,golang.org/x/crypto,v0.36.0,gobinary,CVE-2025-47914,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-47914,bin/k3s,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,golang.org/x/crypto,v0.36.0,gobinary,CVE-2025-58181,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-58181,bin/k3s,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.33.11-k3s1,k3s/v1.33.11,google.golang.org/grpc,v1.72.1,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,bin/k3s,1.79.3,false,not_affected,vulnerable_code_not_in_execute_path
rancher/klipper-helm:v0.9.17-build20260422,k3s/v1.33.11,google.golang.org/grpc,v1.72.2,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,home/klipper-helm/.local/share/helm/plugins/helm-mapkubeapis/bin/mapkubeapis,1.79.3,false,not_affected,vulnerable_code_not_in_execute_path
rancher/klipper-helm:v0.9.17-build20260422,k3s/v1.33.11,google.golang.org/grpc,v1.72.2,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,home/klipper-helm/.local/share/helm/plugins/helm-set-status/helm-set-status,1.79.3,false,not_affected,vulnerable_code_not_in_execute_path
rancher/klipper-helm:v0.9.17-build20260422,k3s/v1.33.11,google.golang.org/grpc,v1.72.2,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,usr/bin/helm,1.79.3,false,not_affected,vulnerable_code_not_in_execute_path
rancher/klipper-lb:v0.4.15,k3s/v1.33.11,musl,1.2.5-r21,alpine,CVE-2026-40200,HIGH,https://avd.aquasec.com/nvd/cve-2026-40200,rancher/klipper-lb:v0.4.15 (alpine 3.23.3),1.2.5-r23,false,affected,
