image,critical,high,total
longhornio/backing-image-manager:v1.11.3,0,34,34
longhornio/csi-attacher:v4.12.0,0,8,8
longhornio/csi-node-driver-registrar:v2.17.0,0,6,6
longhornio/csi-provisioner:v6.3.0,0,8,8
longhornio/csi-resizer:v2.2.0,0,9,9
longhornio/csi-snapshotter:v8.6.0,0,8,8
longhornio/livenessprobe:v2.19.0,0,6,6
longhornio/longhorn-cli:v1.11.3,0,15,15
longhornio/longhorn-engine:v1.11.3,0,43,43
longhornio/longhorn-instance-manager:v1.11.3,0,40,40
longhornio/longhorn-manager:v1.11.3,0,25,25
longhornio/longhorn-share-manager:v1.11.3,0,22,22
longhornio/longhorn-ui:v1.11.3,0,17,17
longhornio/support-bundle-kit:v0.0.88,0,19,19
